mechanic,usageUnit,analysisUnitOpportunityCount,matchOpportunityCount,selectionCount,usageRate,sampleSize,outcomeAssociation,ciLow,ciHigh,evidenceGrade,status,formulaHash
rank7-generated-four-row-clear,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank7-generated-jack-attach,participant,200,100,1,0.005,1,0.5025641025641026,0.4323870572618535,0.5727411478663516,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank7-generated-nine-anchor,participant,200,100,2,0.01,2,0.5051546391752577,0.4347997715090143,0.5755095068415012,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank7-generated-red-joker,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank7-generated-score,participant,200,100,4,0.02,4,0.2552083333333333,'-0.1749889923037718,0.6854056589704385,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank7-generated-three-bounce,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank7-generated-three-hand-raid,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank7-hand-and-effect,participant,200,100,12,0.06,12,0,'-0.2919756248310405,0.2919756248310405,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank7-hand-and-score,participant,200,100,10,0.05,10,'-0.10537634408602148,'-0.41739824367495404,0.20664555550291108,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank7-hand-only,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
